Date,Heure,Date de,Produit,Code ISIN,Description,FX,Mouvements,,Solde,,ID Ordre
05-07-2021,00:00,04-07-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,48",EUR,"10662,47",
02-07-2021,00:00,01-07-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,21",EUR,"10662,95",
01-07-2021,00:00,30-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,17",EUR,"10663,15",
30-06-2021,00:00,29-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,15",EUR,"10663,32",
29-06-2021,00:00,28-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,25",EUR,"10663,48",
28-06-2021,00:00,27-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,44",EUR,"10663,72",
25-06-2021,00:00,24-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,22",EUR,"10664,17",
24-06-2021,00:00,23-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,17",EUR,"10664,38",
23-06-2021,00:00,22-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,18",EUR,"10664,56",
22-06-2021,00:00,21-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,28",EUR,"10664,74",
21-06-2021,00:00,20-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,38",EUR,"10665,02",
18-06-2021,00:00,17-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,24",EUR,"10665,40",
17-06-2021,00:00,16-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,16",EUR,"10665,64",
16-06-2021,00:00,15-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,19",EUR,"10665,80",
15-06-2021,15:41,15-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,"Conversion Fonds Monétaires finalisée: Achat 0,005906 @ 9 875,9172 EUR",,,,EUR,"10665,99",
15-06-2021,15:41,15-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,"Conversion Fonds Monétaires finalisée: Achat 0,47 @ 9 875,9172 EUR",,,,EUR,"10724,32",
15-06-2021,00:00,14-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,16",EUR,"10724,32",
14-06-2021,11:28,14-06-2021,,,Versement de fonds,,EUR,"4700,00",EUR,"10724,48",
14-06-2021,00:00,13-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,22",EUR,"6024,48",
11-06-2021,00:00,10-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,15",EUR,"6024,70",
10-06-2021,00:00,09-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,72",EUR,"6024,85",
09-06-2021,17:22,09-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,"Conversion Fonds Monétaires finalisée: Achat 0,001485 @ 9 877,9794 EUR",,,,EUR,"6025,57",
09-06-2021,17:22,09-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,"Conversion Fonds Monétaires finalisée: Achat 0,53 @ 9 877,9794 EUR",,,,EUR,"6040,24",
09-06-2021,00:00,08-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"0,07",EUR,"6040,24",
08-06-2021,09:27,07-06-2021,,,Versement de fonds,,EUR,"5250,00",EUR,"6040,17",
08-06-2021,00:00,07-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,02",EUR,"790,17",
07-06-2021,00:00,06-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,03",EUR,"790,19",
04-06-2021,00:00,03-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,02",EUR,"790,23",
03-06-2021,00:00,02-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,24",
02-06-2021,00:00,01-06-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,25",
01-06-2021,00:00,31-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,02",EUR,"790,27",
31-05-2021,00:00,30-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,03",EUR,"790,28",
28-05-2021,00:00,27-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,31",
27-05-2021,00:00,26-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,33",
26-05-2021,00:00,25-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,34",
25-05-2021,00:00,24-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,02",EUR,"790,36",
24-05-2021,00:00,23-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,03",EUR,"790,37",
21-05-2021,00:00,20-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,02",EUR,"790,41",
20-05-2021,00:00,19-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,42",
19-05-2021,00:00,18-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,44",
18-05-2021,00:00,17-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,02",EUR,"790,45",
